pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj1,Steve Gonyea,Onondaga Nation,america1777,2005,painting,,,1,gallery_item,visual-gallery,/img/derivatives/simple/obj1_01/thumbnail.jpg,/img/derivatives/simple/obj1_01/full.jpg,
obj10,Alan Michelson,online,Indian Time 1,1996,watches,,,10,gallery_item,visual-gallery,/img/derivatives/simple/obj10/thumbnail.jpg,/img/derivatives/simple/obj10/full.jpg,
obj100,,,Wyoming Massacre,6/8/06,photo,,,100,gallery_item,visual-gallery,/img/derivatives/simple/obj100/thumbnail.jpg,/img/derivatives/simple/obj100/full.jpg,
obj101,,,Immediate Retaliation,6/8/06,photo,,,101,gallery_item,visual-gallery,/img/derivatives/simple/obj101/thumbnail.jpg,/img/derivatives/simple/obj101/full.jpg,
obj102,,,Hartley's Revenge,6/8/06,photo,,,102,gallery_item,visual-gallery,,,
obj103,,,Once A Crossroads,6/8/06,photo,,,103,gallery_item,visual-gallery,/img/derivatives/simple/obj103/thumbnail.jpg,/img/derivatives/simple/obj103/full.jpg,
obj104,,,The Setting,4/30/06,photo,,,104,gallery_item,visual-gallery,/img/derivatives/simple/obj104/thumbnail.jpg,/img/derivatives/simple/obj104/full.jpg,
obj105,,,Back to the Present,4/30/06,photo,,,105,gallery_item,visual-gallery,/img/derivatives/simple/obj105/thumbnail.jpg,/img/derivatives/simple/obj105/full.jpg,
obj106,,,Across the Threshold,4/30/06,photo,,,106,gallery_item,visual-gallery,/img/derivatives/simple/obj106/thumbnail.jpg,/img/derivatives/simple/obj106/full.jpg,
obj108,,,Indians Have Always Paid the Price,4/30/06,photo,,,108,gallery_item,visual-gallery,/img/derivatives/simple/obj108/thumbnail.jpg,/img/derivatives/simple/obj108/full.jpg,
obj109,,,From the 5th Iroquois Biennial,4/30/06,photo,,,109,gallery_item,visual-gallery,/img/derivatives/simple/obj109/thumbnail.jpg,/img/derivatives/simple/obj109/full.jpg,
obj11,Alan Michelson,online,Indian Time 2,1996,watches,,,11,gallery_item,visual-gallery,/img/derivatives/simple/obj11/thumbnail.jpg,/img/derivatives/simple/obj11/full.jpg,
obj110,,,East Wall 1,4/30/06,photo,,,110,gallery_item,visual-gallery,/img/derivatives/simple/obj110/thumbnail.jpg,/img/derivatives/simple/obj110/full.jpg,
obj111,,,East Wall 2,4/30/06,photo,,,111,gallery_item,visual-gallery,/img/derivatives/simple/obj111/thumbnail.jpg,/img/derivatives/simple/obj111/full.jpg,
obj112,,,West Wall,4/30/06,photo,,,112,gallery_item,visual-gallery,/img/derivatives/simple/obj112/thumbnail.jpg,/img/derivatives/simple/obj112/full.jpg,
obj113,,,From the 5th Iroquois Biennial,4/30/06,photo,,,113,gallery_item,visual-gallery,/img/derivatives/simple/obj113/thumbnail.jpg,/img/derivatives/simple/obj113/full.jpg,
obj114,,,225th Anniversary Fields of Fire Installation at the AICH,6/2/06,photo,,Photos by Clint Fisher,114,gallery_item,visual-gallery,/img/derivatives/simple/obj114/thumbnail.jpg,/img/derivatives/simple/obj114/full.jpg,
obj115,,,Fields of Fire,6/2/06,photo,,Photos by Clint Fisher,115,gallery_item,visual-gallery,/img/derivatives/simple/obj115/thumbnail.jpg,/img/derivatives/simple/obj115/full.jpg,
obj116,,,Commander-in- chief,6/2/06,photo,,Photos by Clint Fisher,116,gallery_item,visual-gallery,/img/derivatives/simple/obj116/thumbnail.jpg,/img/derivatives/simple/obj116/full.jpg,
obj117,,,Bearing Witness,6/2/06,photo,,Photos by Clint Fisher,117,gallery_item,visual-gallery,/img/derivatives/simple/obj117/thumbnail.jpg,/img/derivatives/simple/obj117/full.jpg,
obj118,,,Fields of Fire 2,6/2/06,photo,,Photos by Clint Fisher,118,gallery_item,visual-gallery,/img/derivatives/simple/obj118/thumbnail.jpg,/img/derivatives/simple/obj118/full.jpg,
obj119,,,aka Town Destroyer,6/2/06,photo,,Photos by Clint Fisher,119,gallery_item,visual-gallery,/img/derivatives/simple/obj119/thumbnail.jpg,/img/derivatives/simple/obj119/full.jpg,
obj12,Alan Michelson,online,No York,1997,painting,,,12,gallery_item,visual-gallery,/img/derivatives/simple/obj12/thumbnail.jpg,/img/derivatives/simple/obj12/full.jpg,
obj120,,,Longhouse Burning,6/2/06,photo,,Photos by Clint Fisher,120,gallery_item,visual-gallery,/img/derivatives/simple/obj120/thumbnail.jpg,/img/derivatives/simple/obj120/full.jpg,
obj121,,,identity theft,6/2/06,photo,,Photos by Clint Fisher,121,gallery_item,visual-gallery,/img/derivatives/simple/obj121/thumbnail.jpg,/img/derivatives/simple/obj121/full.jpg,
obj122,,,Oneida Silver,6/2/06,photo,,Photos by Clint Fisher,122,gallery_item,visual-gallery,/img/derivatives/simple/obj122/thumbnail.jpg,/img/derivatives/simple/obj122/full.jpg,
